BioNavigator Version	PamGrid Version	QuantitationType	per run_Mean	Protocol file name	METHOD-CC Main Analysis PoM1-9 reportDate	"Wed, 16 Sep 2020 08:55:01 GMT"				
EPHA4_921_933	5.433373928	5.450761318	5.441902637	5.434900761	5.432290077	5.441471577	5.436552525	5.449157715	5.444774628	5.441812038
EPHA7_607_619	10.33847332	10.3251791	10.325243	10.34335232	10.33744717	10.32726002	10.33987617	10.32430935	10.32949162	10.33414555
EPHB1_771_783	9.961751938	9.940275192	9.944377899	9.956992149	9.953166962	9.979574203	9.954732895	9.938302994	9.945562363	9.942193985
EPHB1_921_933	5.783029556	5.800872803	5.782605648	5.782091618	5.782166958	5.784246922	5.784491539	5.792587757	5.790430546	5.793586731
EPHB4_583_595	6.123390675	6.123001575	6.123042107	6.112293243	6.115967274	6.113109589	6.116623402	6.124941349	6.122953892	6.124271393
EPOR_361_373	9.794877052	9.801852226	9.808191299	9.809782028	9.813454628	9.826766968	9.810437202	9.807239532	9.807003021	9.803542137
EPOR_419_431	8.245230675	8.248020172	8.253376007	8.255919456	8.259983063	8.243364334	8.257649422	8.25200367	8.253733635	8.260620117
ERBB2_1241_1253	7.952665806	7.944823742	7.946979046	7.951737404	7.954387665	7.946758747	7.951570511	7.946190357	7.948198318	7.947639942
ERBB2_870_882	8.343708038	8.300704956	8.31064415	8.322313309	8.316705704	8.321055412	8.317331314	8.29551506	8.30391407	8.296180725
ERBB4_1181_1193	6.155426025	6.173412323	6.17740202	6.15957737	6.165309429	6.162666321	6.165936947	6.172635078	6.171199799	6.161692142
ERBB4_1277_1289	6.545768738	6.531462669	6.532755375	6.529508114	6.529923439	6.52806282	6.530963421	6.527900219	6.530571938	6.5279212
FABPH_13_25	5.377866745	5.400976658	5.402008533	5.388317585	5.387712479	5.399549484	5.39025116	5.39868927	5.397156715	5.389753342
FAK1_569_581	8.486438751	8.466682434	8.468316078	8.477272034	8.480665207	8.492575645	8.477735519	8.464646339	8.469447136	8.462719917
FAK2_572_584	9.912659645	9.911489487	9.91258049	9.925587654	9.918807983	9.914465904	9.922008514	9.916238785	9.915973663	9.92890358
FER_707_719	10.02412033	10.0170517	10.02238274	10.03144646	10.02905655	10.03611946	10.02745628	10.02069473	10.02200413	10.0210228
FES_706_718	10.84679222	10.83832264	10.83510113	10.85424519	10.85052586	10.84089661	10.84996223	10.84234715	10.84277821	10.84652519
FGFR1_761_773	7.296145916	7.31017065	7.30771637	7.309580326	7.3083148	7.296319008	7.312503338	7.320497036	7.314216137	7.338926792
FGFR2_762_774	7.957685471	7.951674938	7.956353188	7.959850788	7.958993912	7.945593834	7.95786047	7.95334959	7.956104755	7.961690426
FGFR3_641_653	5.63852644	5.64433527	5.650992393	5.632329464	5.634588242	5.641094208	5.635291576	5.643616676	5.642149448	5.633230686
FGFR3_753_765	7.923552513	7.924720764	7.929596901	7.930401325	7.932197571	7.913508415	7.929425716	7.929177761	7.929445267	7.932590961
FRK_380_392	11.86684418	11.8690691	11.86467171	11.87954712	11.88377857	11.87670612	11.87734699	11.8721323	11.87106133	11.87705135
INSR_1348_1360	5.771826267	5.769880772	5.766127586	5.75538826	5.755993843	5.767244816	5.758086205	5.76543808	5.762775421	5.755050659
INSR_992_1004	6.326849937	6.332472324	6.341092587	6.327222824	6.326586246	6.322126865	6.326442719	6.331995487	6.332195282	6.327454567
JAK1_1015_1027	9.217671394	9.227536201	9.230051041	9.23673439	9.239257813	9.231770515	9.236714363	9.233879089	9.233006477	9.240293503
JAK2_563_577	8.711387634	8.712013245	8.713880539	8.718650818	8.725575447	8.72924614	8.720571518	8.718340874	8.717507362	8.71679306
K2C6B_53_65	8.282343864	8.26844883	8.263354301	8.279783249	8.269244194	8.256932259	8.274688721	8.267679214	8.271090508	8.291818619
K2C8_425_437	7.280727863	7.276889801	7.284141541	7.28202486	7.28167963	7.265002728	7.280194759	7.275614262	7.280147076	7.285824776
KSYK_518_530	6.811757565	6.812574387	6.821706295	6.809740543	6.817293167	6.825257778	6.813850403	6.813960552	6.815910816	6.811019897
LAT_194_206	7.726706028	7.681827545	7.683268547	7.699709892	7.687960625	7.700969696	7.695073128	7.674489975	7.683813095	7.693361282
LAT_249_261	9.556594849	9.522551537	9.534757614	9.544068336	9.539573669	9.550104141	9.538621902	9.514166832	9.527469635	9.521800995
LCK_387_399	9.330443382	9.330304146	9.331520081	9.341011047	9.342256546	9.33731842	9.340899467	9.335690498	9.336251259	9.338277817
MBP_198_210	7.862935543	7.824806213	7.82465601	7.834928513	7.826268673	7.840618134	7.832684517	7.813622952	7.82105875	7.819257259
MBP_259_271	6.339715958	6.336372375	6.333658695	6.329251766	6.332152367	6.329382896	6.331093788	6.333117485	6.333795071	6.335112095
MBP_263_275	5.761101723	5.772075176	5.761822224	5.752603531	5.756716728	5.763747215	5.758270741	5.765972614	5.764755249	5.762760162
MET_1227_1239	8.818419456	8.809838295	8.815901756	8.817503929	8.822852135	8.840472221	8.821191788	8.810908318	8.814442635	8.813260078
MK01_180_192	6.89317131	6.890125751	6.889262199	6.887535095	6.887552261	6.897580147	6.89106369	6.890414238	6.892178535	6.900200844
MK01_198_210	5.178349972	5.188040257	5.179894924	5.176170349	5.169894695	5.189436436	5.177272797	5.190267086	5.183351517	5.178277969
MK07_211_223	7.424333572	7.42742157	7.430098057	7.428639412	7.433902264	7.43192482	7.429991722	7.432186604	7.430631638	7.433110237
MK10_216_228	8.049162865	8.026441574	8.0284729	8.038020134	8.031968117	8.033579826	8.030827522	8.018368721	8.02631855	8.025454521
MK12_178_190	6.901119709	6.913300991	6.911477089	6.907682896	6.910554886	6.908594608	6.912769318	6.918139458	6.915671825	6.923937321
MK14_173_185	6.518579006	6.524513245	6.528823853	6.515815258	6.523728848	6.517639637	6.522501945	6.525913239	6.524978161	6.518255234
NCF1_313_325	7.347286701	7.329843044	7.307325363	7.326824188	7.322508812	7.334562302	7.328268051	7.321734905	7.32396841	7.328152657
NPT2A_501_513	6.385295391	6.391280174	6.359320641	6.376692295	6.365194798	6.372216225	6.377165794	6.37619257	6.377985954	6.395546436
NTRK1_489_501	5.577093601	5.581143856	5.577129364	5.570174217	5.562011719	5.57322073	5.568247795	5.573233604	5.571919441	5.566418648
NTRK2_509_521	5.441383362	5.446557522	5.440248966	5.438412189	5.432779789	5.433022499	5.434977531	5.446395874	5.442561626	5.442380905
NTRK2_696_708	9.546848297	9.541577339	9.543175697	9.550085068	9.55155468	9.554800987	9.547254562	9.544878006	9.544048309	9.548110962
ODBA_340_352_D340K	5.634956837	5.646832466	5.649175644	5.632810116	5.636718273	5.640026093	5.636583328	5.646182537	5.645645142	5.631862164
ODPAT_291_303	5.814402103	5.815005302	5.815795898	5.803367138	5.804800034	5.809497356	5.805204868	5.811691761	5.810351372	5.801170826
P85A_600_612	10.7443037	10.73818493	10.74085999	10.75002384	10.75295258	10.74226284	10.74870014	10.73861313	10.7382412	10.74168301
PAXI_111_123	11.31741619	11.32068729	11.31460285	11.32880497	11.33608723	11.33345509	11.32732201	11.32503891	11.32274818	11.32709789
PAXI_24_36	10.99186325	10.98201656	10.97834873	11.00193405	10.99449062	10.9803648	10.99472427	10.98172092	10.9848032	10.99426079
PDPK1_2_14	10.27817917	10.26095676	10.26546669	10.27493763	10.26920891	10.26490021	10.26764488	10.2611618	10.26201534	10.2599411
PDPK1_369_381	8.590109825	8.591197968	8.585226059	8.601865768	8.59667778	8.57798481	8.603163719	8.592514992	8.594465256	8.612848282
PECA1_706_718	11.02355289	11.00958347	11.00840664	11.02143764	11.02264214	11.0346365	11.01849174	11.00952816	11.00977421	11.00654221
PERI_458_470	5.481917858	5.489110947	5.486289978	5.474217415	5.474451065	5.49279356	5.476561546	5.4882617	5.483812809	5.473301888
PGFRB_1002_1014	8.310985565	8.310569763	8.317759514	8.315078735	8.319545746	8.308810234	8.316457748	8.315906525	8.316250801	8.318232536
PGFRB_1014_1028	8.898314476	8.867851257	8.876459122	8.883683205	8.879890442	8.889212608	8.881012917	8.866660118	8.871974945	8.867061615
PGFRB_572_584	10.68800831	10.68111706	10.67672348	10.70147896	10.6960001	10.68644619	10.69540787	10.68513107	10.68486118	10.69226074
PGFRB_709_721	8.453544617	8.455324173	8.462478638	8.458764076	8.459648132	8.454298019	8.458583832	8.456806183	8.457872391	8.458417892
PGFRB_768_780	8.366710663	8.372328758	8.37668705	8.377469063	8.382143021	8.36788559	8.375849724	8.374103546	8.375247002	8.37960434
PGFRB_771_783	7.685304165	7.691242695	7.698617935	7.692897797	7.701009274	7.675622463	7.693684578	7.696722984	7.695097923	7.697446823
PLCG1_1246_1258	5.855118752	5.864603043	5.861053467	5.849545956	5.852591038	5.859950542	5.852451324	5.858373165	5.858258247	5.847258091
PLCG1_764_776	11.66263962	11.66418839	11.66439056	11.67745972	11.67891502	11.66966057	11.67430782	11.66573524	11.66653061	11.67267418
PLCG1_776_788	6.080151558	6.092435837	6.09703064	6.079799652	6.090033531	6.097169876	6.085826397	6.095011234	6.092795372	6.079878807
PP2AB_297_309	6.387246609	6.39043808	6.387685299	6.381711483	6.385880947	6.381160259	6.38340807	6.387917519	6.387600899	6.382956505
PRGR_545_557	5.658650875	5.676795959	5.679636955	5.663047791	5.664885998	5.671994686	5.666025639	5.675541401	5.67340374	5.660927296
PRGR_786_798	7.314018726	7.30322504	7.307261467	7.313097477	7.302174091	7.265855789	7.310613632	7.299725533	7.30527544	7.31962204
PRRX2_202_214	8.499229431	8.487490654	8.495381355	8.497071266	8.497103691	8.497323036	8.495901108	8.487965584	8.491906166	8.49879837
PTN11_539_551	6.501513481	6.503396511	6.493344784	6.490900993	6.493639946	6.500247002	6.498200893	6.499039173	6.499409199	6.499051094
RAF1_332_344	9.646418571	9.660622597	9.645466805	9.662093163	9.658177376	9.663694382	9.665388107	9.666238785	9.661619186	9.690917969
RASA1_453_465	10.87909985	10.85824966	10.85960674	10.87390137	10.86423588	10.86383915	10.86449242	10.86048603	10.8591404	10.85874653
RBL2_99_111	6.332466125	6.343707085	6.352088451	6.336873531	6.339745045	6.336770058	6.339063168	6.34715271	6.344355106	6.33631897
RB_804_816	7.629248142	7.622945309	7.614771366	7.626751423	7.617752552	7.616815567	7.623515606	7.61790514	7.621620655	7.635528088
RET_1022_1034	10.69587517	10.68224335	10.68560886	10.6989584	10.69916534	10.69305611	10.69409084	10.68240738	10.68596172	10.68380356
RET_680_692	5.388485432	5.401169777	5.398661613	5.385907173	5.38455677	5.396396637	5.387444496	5.399910927	5.395022392	5.384178162
RON_1346_1358	8.105759621	8.093216896	8.098522186	8.096857071	8.096796036	8.091351509	8.095840454	8.098150253	8.096289635	8.095955849
RON_1353_1365	7.373747826	7.383015633	7.383525372	7.379127979	7.382812977	7.376119137	7.383337975	7.388149738	7.386630535	7.403865337
SRC8_CHICK_470_482	6.220349789	6.204252243	6.209685326	6.208138466	6.201357841	6.210259438	6.204649925	6.197638988	6.2020998	6.193346024
SRC8_CHICK_476_488	12.26771355	12.27348137	12.27149773	12.28239727	12.29009914	12.28687477	12.28344536	12.27580357	12.27526379	12.2785778
SRC8_CHICK_492_504	12.25204659	12.24917889	12.24916363	12.25976563	12.26314068	12.25217724	12.25879574	12.24776459	12.24647903	12.25499058
STA5A_687_699	5.347831726	5.3684659	5.36537075	5.35495472	5.355363369	5.359678268	5.356979847	5.370702267	5.364247799	5.35611105
STAT1_694_706	5.132809162	5.1443367	5.140497208	5.131840229	5.12567234	5.137648582	5.128859997	5.143237591	5.136334896	5.12945509
STAT3_698_710	5.641657829	5.652647018	5.644829273	5.639876366	5.638170242	5.639503002	5.640197754	5.648073673	5.646440506	5.645246029
STAT4_686_698	5.391932011	5.403746605	5.397399902	5.388413906	5.387702465	5.396084785	5.390031815	5.397139072	5.395569324	5.388728142
STAT4_714_726	7.397034168	7.401007175	7.409794807	7.403173447	7.407175064	7.392686367	7.404107094	7.409108639	7.407149315	7.40985775
STAT6_634_646	5.401278496	5.410246849	5.398780823	5.397332191	5.392371178	5.399478436	5.396267891	5.404339314	5.400998116	5.396934032
TEC_512_524	8.304462433	8.304572105	8.306084633	8.31255722	8.313874245	8.299044609	8.310962677	8.313576698	8.310032845	8.315895081
TNNT1_2_14	6.451863289	6.315593243	6.3190732	6.34927702	6.312605858	6.354336262	6.344844341	6.278991699	6.30550766	6.297269344
TYRO3_679_691	7.725593567	7.719334602	7.718555927	7.723003864	7.715720177	7.711902142	7.721457481	7.714380741	7.718615055	7.730886459
VGFR1_1040_1052	6.965270996	6.964803219	6.971616745	6.960594654	6.971197128	6.962937832	6.966862202	6.968817711	6.969623566	6.966926575
VGFR1_1046_1058_Y1048F	5.513217449	5.523664951	5.522244453	5.511638165	5.511784554	5.524018764	5.511490345	5.520872593	5.519752979	5.508764267
VGFR1_1049_1061	6.02963829	6.03502512	6.029172421	6.021350861	6.023199558	6.025040627	6.025678158	6.032350063	6.030049801	6.028474808
VGFR1_1162_1174	5.913784504	5.920349121	5.92393446	5.911978722	5.912296295	5.904877663	5.910508156	5.920713425	5.919005394	5.912147999
VGFR1_1206_1218	5.873360157	5.877824783	5.87924242	5.866919994	5.871085644	5.871335506	5.868742943	5.877151966	5.875535011	5.862279892
VGFR1_1235_1247	5.757388115	5.765301704	5.766397953	5.753734589	5.753407478	5.759186745	5.757037163	5.758943558	5.760695934	5.755874634
VGFR1_1320_1332_C1320S/C1321S	5.749833584	5.765091419	5.77018404	5.754274845	5.757110596	5.749859333	5.755730629	5.765633583	5.763914108	5.753294468
VGFR1_1326_1338	7.975734711	7.977909565	7.986178398	7.985917568	7.989331722	7.978234291	7.985822201	7.986721039	7.985715389	7.987997532
VGFR2_1046_1058	7.005345821	7.005532742	7.00809145	7.007167339	7.008993149	6.995589733	7.008040428	7.007730484	7.008413315	7.013021469
VGFR2_1052_1064	7.836616516	7.840590477	7.842903137	7.847376347	7.856696606	7.852837563	7.848349571	7.849395275	7.847626209	7.849532604
VGFR2_1168_1180	7.977994442	7.977927208	7.980703354	7.983381271	7.985318184	7.982802868	7.982336044	7.985178471	7.983081341	7.984714508
VGFR2_1207_1219_C1208S	5.462206841	5.467670918	5.474042892	5.457774162	5.45462656	5.46471262	5.457341671	5.468412876	5.463937759	5.454513073
VGFR2_944_956	7.182249546	7.180223465	7.168346882	7.176749229	7.170314789	7.160286903	7.176138401	7.177213669	7.176131725	7.185328484
VGFR2_989_1001	10.49539566	10.49028206	10.49756622	10.50379181	10.50798988	10.50145912	10.50178719	10.4913559	10.49377632	10.49784946
VGFR3_1061_1073	7.765553951	7.763860226	7.770869255	7.768334389	7.776327133	7.774958134	7.768409729	7.769092083	7.768048763	7.762986183
VINC_815_827	6.321582794	6.326617718	6.311812878	6.319571018	6.316096306	6.315924644	6.320254803	6.321838856	6.321879864	6.328854561
ZAP70_485_497	9.155981064	9.154846191	9.161866188	9.163580894	9.165863991	9.163262367	9.16345787	9.160383224	9.161294937	9.159631729
ZBT16_621_633	6.570456505	6.573076248	6.568061829	6.568986893	6.561974525	6.543814182	6.566886425	6.56588316	6.568655491	6.581008434
